crashid,date,hour,day,city_section,highwayid,milepost,lat,lon,road_type,road_desc,street_name,isect_num,lane_quantity,crash_severity,volume,speed,weather1,weather2,precip,temp,wind,cloud,visibility,road_cond,light_cond
1666268,2016-04-06,14:00:00,WEDNESDAY,Portland NE,1,302,45.530589,-122.66535,MN,BRIDGE,PACIFIC HY I-5,9435,6,INJ,1108.00,44.00,Clear,CLR,0,66.22,2.38,0.06,9,DRY,DAY
1666372,2016-04-22,16:00:00,FRIDAY,Portland N,1,302.5,45.539094,-122.670336,MN,STRGHT,PACIFIC HY I-5,9432,6,INJ,1180.00,49.00,Mostly Cloudy,CLR,0,62.61,4.92,0.75,9,DRY,DAY
1666761,2016-05-02,07:00:00,MONDAY,Portland NE,1,302,45.530589,-122.66535,MN,STRGHT,PACIFIC HY I-5,9435,6,INJ,1178.00,49.50,Clear,CLR,0,58.29,0.57,0.08,9,DRY,DAY
1666887,2016-05-02,15:00:00,MONDAY,Portland N,1,307.5,45.606778,-122.682031,MN,BRIDGE,PACIFIC HY I-5,9902,7,INJ,1199.00,18.33,Clear,CLR,0,87.44,4.03,0,9,DRY,DAY
1666967,2016-06-14,22:00:00,TUESDAY,Portland N,1,304.5,45.5638,-122.678706,MN,STRGHT,PACIFIC HY I-5,9424,6,INJ,930.00,58.50,Overcast,RAIN,0.0004,51.63,2.92,0.89,9,WET,DLIT
1666968,2016-05-04,08:00:00,WEDNESDAY,Portland N,1,307,45.593525,-122.683431,MN,STRGHT,PACIFIC HY I-5,9411,6,INJ,686.00,60.50,Mostly Cloudy,CLR,0,53.61,1.85,0.82,9,DRY,DAY
1667091,2016-07-07,09:00:00,THURSDAY,Portland N,1,302.5,45.538731,-122.670036,MN,STRGHT,PACIFIC HY I-5,9432,7,INJ,1269.00,50.00,Mostly Cloudy,CLR,0,61.35,4.03,0.72,9,DRY,DAY
1667235,2016-07-28,15:00:00,THURSDAY,Portland SE,1,301,45.519003,-122.666156,CN,STRGHT,NB EF MORRISN BR C3,9451,1,INJ,588.00,42.50,Clear,CLR,0,89.02,3.79,0,9,DRY,DAY
1667289,2016-08-02,14:00:00,TUESDAY,Portland N,1,304.5,45.5638,-122.678706,MN,STRGHT,PACIFIC HY I-5,9424,6,INJ,1325.00,48.50,Mostly Cloudy,CLR,0,72.16,2.01,0.79,9,DRY,DAY
1667333,2016-05-06,08:00:00,FRIDAY,Portland SE,1,301,45.516269,-122.667408,MN,STRGHT,PACIFIC HY I-5,9439,5,INJ,977.00,25.00,Clear,CLR,0,58.29,1.35,0.1,9,DRY,DAY
1667357,2016-08-16,11:00:00,TUESDAY,Portland SE,1,301.5,45.522006,-122.665625,MN,STRGHT,PACIFIC HY I-5,9439,6,INJ,601.00,48.50,Mostly Cloudy,CLR,0,63.16,2.37,0.87,9,DRY,DAY
1667368,2016-05-06,15:00:00,FRIDAY,Portland SW,1,300,45.502,-122.674317,MN,STRGHT,SB EF MARQUAM BR,9496,2,INJ,696.00,8.00,Clear,CLR,0,80.7,3.51,0.09,9,DRY,DAY
1667380,2016-05-06,21:00:00,FRIDAY,Portland N,1,305,45.570289,-122.678708,MN,STRGHT,PACIFIC HY I-5,9420,4,INJ,883.00,53.50,Clear,CLR,0,73.37,3.25,0,9,DRY,DLIT
1667475,2016-05-07,10:00:00,SATURDAY,Portland N,1,302.5,45.537514,-122.668978,MN,STRGHT,PACIFIC HY I-5,9432,6,INJ,939.00,36.00,Clear,CLR,0,70,1.16,0,9,DRY,DAY
1667560,2016-05-07,10:00:00,SATURDAY,Portland N,1,303.5,45.549361,-122.678753,MN,STRGHT,PACIFIC HY I-5,9430,8,INJ,683.00,60.00,Clear,CLR,0,70,1.16,0,9,DRY,DAY
1667728,2016-05-09,17:00:00,MONDAY,Portland NE,1,302,45.529536,-122.665364,MN,STRGHT,PACIFIC HY I-5,9436,6,INJ,510.00,53.50,Clear,CLR,0,67.11,3.19,0.1,9,DRY,DAY
1667910,2016-05-14,14:00:00,SATURDAY,Portland N,1,305,45.568917,-122.678683,MN,STRGHT,PACIFIC HY I-5,9421,6,INJ,0.00,,Possible Drizzle,RAIN,0.0025,56.31,0.98,1,6,WET,DAY
1668206,2016-05-05,06:00:00,THURSDAY,Portland SE,1,301.5,45.521408,-122.665739,MN,STRGHT,PACIFIC HY I-5,9439,5,INJ,797.00,52.00,Overcast,CLR,0,53.43,1.23,1,9,DRY,DAY
1668360,2016-05-19,17:00:00,THURSDAY,Portland N,1,304,45.559647,-122.678667,MN,STRGHT,PACIFIC HY I-5,9424,6,INJ,554.00,9.00,Possible Drizzle,CLD,0.0081,52.9,0.87,0.9,9,DRY,DAY
1668752,2016-05-22,06:00:00,SUNDAY,Portland N,1,303.5,45.548361,-122.678733,MN,STRGHT,PACIFIC HY I-5,9430,8,INJ,221.00,64.50,Overcast,CLR,0.0008,51.07,0.66,1,9,DRY,DAY
1668923,2016-05-24,18:00:00,TUESDAY,Portland NE,1,301.5,45.525653,-122.665453,MN,STRGHT,PACIFIC HY I-5,9448,6,INJ,681.00,54.00,Overcast,CLR,0,67.3,1.14,0.88,9,DRY,DAY
1669019,2016-05-11,08:00:00,WEDNESDAY,Portland N,1,307.5,45.604997,-122.682586,MN,STRGHT,PACIFIC HY I-5,9902,7,INJ,706.00,63.33,Clear,CLR,0,59.19,1.6,0,9,DRY,DAY
1669215,2016-05-27,16:00:00,FRIDAY,Portland NE,1,302.5,45.534369,-122.665719,CN,INTER,NE WEIDLER ST,9434,,INJ,1121.00,40.50,Overcast,CLR,0.0007,60.82,1.55,0.89,9,DRY,DAY
1669346,2016-06-03,14:00:00,FRIDAY,Portland N,1,302.5,45.538,-122.669408,MN,STRGHT,PACIFIC HY I-5,9432,6,INJ,1373.00,49.00,Clear,CLR,0,81.42,2.51,0.01,9,DRY,DAY
