crashid,date,hour,day,city_section,highwayid,milepost,lat,lon,road_type,road_desc,street_name,isect_num,lane_quantity,vehicleid,partic_type,age,gender,vehicle_type,striking_vehicle,collision_type,crash_severity,injury_severity,vehicle_movement,vehicle_direction,volume,speed,weather1,weather2,precip,temp,wind,cloud,visibility,road_cond,light_cond,speeding,alcohol,drug
1661466,2016-03-09,21:00:00,WEDNESDAY,Portland N,1,305.5,45.577225,-122.6775,CN,INTER,N LOMBARD ST,9418,,3136743,PSNG,1,1,PSNGR CAR,f,REAR,INJ,NO<5,STOP,NE,674.00,59.67,Drizzle,RAIN,0.0031,51.44,2.92,1,9,WET,DLIT,f,f,f
1661466,2016-03-09,21:00:00,WEDNESDAY,Portland N,1,305.5,45.577225,-122.6775,CN,INTER,N LOMBARD ST,9418,,3136742,DRVR,29,2,PSNGR CAR,t,REAR,INJ,NONE,STRGHT,NE,674.00,59.67,Drizzle,RAIN,0.0031,51.44,2.92,1,9,WET,DLIT,f,f,f
1684858,2016-03-10,08:00:00,THURSDAY,Portland N,1,308,45.612283,-122.678878,MN,STRGHT,PACIFIC HY I-5,9458,6,3181476,DRVR,21,1,PSNGR CAR,t,REAR,INJ,NONE,STRGHT,S,817.00,58.00,Possible Drizzle,RAIN,0.0044,50.91,8.96,0.79,9,WET,DAWN,t,f,f
1684858,2016-03-10,08:00:00,THURSDAY,Portland N,1,308,45.612283,-122.678878,MN,STRGHT,PACIFIC HY I-5,9458,6,3181477,DRVR,39,2,PSNGR CAR,f,REAR,INJ,INJC,STOP,S,817.00,58.00,Possible Drizzle,RAIN,0.0044,50.91,8.96,0.79,9,WET,DAWN,t,f,f
1661765,2016-03-11,18:00:00,FRIDAY,Portland NE,1,301.5,45.525803,-122.665444,MN,STRGHT,PACIFIC HY I-5,9448,6,3137306,DRVR,53,1,PSNGR CAR,f,REAR,INJ,INJC,STOP,S,983.00,25.50,Possible Drizzle,CLR,0.002,51.81,2.92,1,9,DRY,DAY,f,f,f
1661765,2016-03-11,18:00:00,FRIDAY,Portland NE,1,301.5,45.525803,-122.665444,MN,STRGHT,PACIFIC HY I-5,9448,6,3137305,DRVR,56,1,PSNGR CAR,t,REAR,INJ,NONE,STRGHT,S,983.00,25.50,Possible Drizzle,CLR,0.002,51.81,2.92,1,9,DRY,DAY,f,f,f
1692952,2016-03-13,14:00:00,SUNDAY,Portland NE,1,301.5,45.525119,-122.663131,CN,STRGHT,NB EXTO BANFIELD C1,305,2,3196106,DRVR,0,9,UNKNOWN,f,REAR,PDO,NONE,STOP,SE,945.00,55.50,Possible Drizzle,CLR,0.0069,51.27,6.61,0.78,9,DRY,DAY,f,f,f
1692952,2016-03-13,14:00:00,SUNDAY,Portland NE,1,301.5,45.525119,-122.663131,CN,STRGHT,NB EXTO BANFIELD C1,305,2,3196105,DRVR,0,9,PSNGR CAR,t,REAR,PDO,NONE,STRGHT,SE,945.00,55.50,Possible Drizzle,CLR,0.0069,51.27,6.61,0.78,9,DRY,DAY,f,f,f
1662095,2016-03-13,18:00:00,SUNDAY,Portland NE,1,301.5,45.525653,-122.665453,MN,STRGHT,PACIFIC HY I-5,9448,4,3137906,DRVR,32,2,PSNGR CAR,f,REAR,INJ,NONE,STRGHT,S,1198.00,39.00,Drizzle,CLR,0.007,48.4,6.03,0.73,9,DRY,DAY,f,f,f
1662095,2016-03-13,18:00:00,SUNDAY,Portland NE,1,301.5,45.525653,-122.665453,MN,STRGHT,PACIFIC HY I-5,9448,4,3137905,DRVR,28,1,PSNGR CAR,t,REAR,INJ,NONE,STRGHT,S,1198.00,39.00,Drizzle,CLR,0.007,48.4,6.03,0.73,9,DRY,DAY,f,f,f
1662095,2016-03-13,18:00:00,SUNDAY,Portland NE,1,301.5,45.525653,-122.665453,MN,STRGHT,PACIFIC HY I-5,9448,4,3137906,PSNG,6,2,PSNGR CAR,f,REAR,INJ,INJB,STRGHT,S,1198.00,39.00,Drizzle,CLR,0.007,48.4,6.03,0.73,9,DRY,DAY,f,f,f
1662095,2016-03-13,18:00:00,SUNDAY,Portland NE,1,301.5,45.525653,-122.665453,MN,STRGHT,PACIFIC HY I-5,9448,4,3137906,PSNG,10,2,PSNGR CAR,f,REAR,INJ,INJB,STRGHT,S,1198.00,39.00,Drizzle,CLR,0.007,48.4,6.03,0.73,9,DRY,DAY,f,f,f
1694574,2016-03-16,09:00:00,WEDNESDAY,Portland N,1,304.5,45.564089,-122.678708,MN,STRGHT,PACIFIC HY I-5,9424,6,3198966,DRVR,0,9,PSNGR CAR,f,REAR,PDO,NONE,STOP,S,1180.00,59.50,Overcast,CLR,0,44.79,0.35,0.88,9,DRY,DAY,f,f,f
1694574,2016-03-16,09:00:00,WEDNESDAY,Portland N,1,304.5,45.564089,-122.678708,MN,STRGHT,PACIFIC HY I-5,9424,6,3198965,DRVR,0,9,PSNGR CAR,t,REAR,PDO,NONE,STRGHT,S,1180.00,59.50,Overcast,CLR,0,44.79,0.35,0.88,9,DRY,DAY,f,f,f
1699017,2016-03-17,18:00:00,THURSDAY,Portland N,1,304,45.556372,-122.678703,MN,STRGHT,PACIFIC HY I-5,9425,6,3206730,DRVR,0,9,PSNGR CAR,t,REAR,PDO,NONE,STRGHT,S,844.00,18.00,Clear,CLR,0,57.57,7.49,0.01,9,DRY,DAY,f,f,f
1699017,2016-03-17,18:00:00,THURSDAY,Portland N,1,304,45.556372,-122.678703,MN,STRGHT,PACIFIC HY I-5,9425,6,3206731,DRVR,0,9,UNKNOWN,f,REAR,PDO,NONE,STOP,S,844.00,18.00,Clear,CLR,0,57.57,7.49,0.01,9,DRY,DAY,f,f,f
1699205,2016-03-18,19:00:00,FRIDAY,Portland N,1,304.5,45.563208,-122.678403,CN,STRGHT,NB EF MISSOURI C1,322,1,3207075,DRVR,0,9,PSNGR CAR,t,SS-O,PDO,NONE,STRGHT,N,846.00,16.00,Clear,CLR,0,57.57,7.14,0.06,9,DRY,DARK,f,f,f
1699205,2016-03-18,19:00:00,FRIDAY,Portland N,1,304.5,45.563208,-122.678403,CN,STRGHT,NB EF MISSOURI C1,322,1,3207076,DRVR,0,9,PSNGR CAR,f,SS-O,PDO,NONE,STRGHT,N,846.00,16.00,Clear,CLR,0,57.57,7.14,0.06,9,DRY,DARK,f,f,f
1699393,2016-03-19,00:00:00,SATURDAY,Portland N,1,305,45.573064,-122.678742,MN,STRGHT,PACIFIC HY I-5,9420,8,3207402,DRVR,0,9,PSNGR CAR,t,REAR,PDO,NONE,STRGHT,S,493.00,57.00,Mostly Cloudy,CLR,0,53.1,8.05,0.6,9,DRY,DAY,f,f,f
1699393,2016-03-19,00:00:00,SATURDAY,Portland N,1,305,45.573064,-122.678742,MN,STRGHT,PACIFIC HY I-5,9420,8,3207403,DRVR,0,9,PSNGR CAR,f,REAR,PDO,NONE,STOP,S,493.00,57.00,Mostly Cloudy,CLR,0,53.1,8.05,0.6,9,DRY,DAY,f,f,f
1662104,2016-03-19,12:00:00,SATURDAY,Portland N,1,308,45.613236,-122.678344,MN,BRIDGE,PACIFIC HY I-5,9458,6,3137919,DRVR,0,9,PSNGR CAR,t,REAR,INJ,NONE,STRGHT,S,1074.00,18.33,Partly Cloudy,CLD,0,60.28,8.05,0.4,9,DRY,DLIT,f,f,f
1662104,2016-03-19,12:00:00,SATURDAY,Portland N,1,308,45.613236,-122.678344,MN,BRIDGE,PACIFIC HY I-5,9458,6,3137920,DRVR,22,1,PSNGR CAR,f,REAR,INJ,INJC,STOP,S,1074.00,18.33,Partly Cloudy,CLD,0,60.28,8.05,0.4,9,DRY,DLIT,f,f,f
